patients.address_found,patients.city_found,patients.common_name,patients.county_found,patients.found_at,patients.disposition,patients.keywords,admissions.id,admissions.case_year,people.postal_code
16 Wyndemere Bluffs,Harwich Port,House Finch,Barnstable County,6/13/2019,Released,Orphan,455,2019,2646
1470 Main Street,Chatham,Common Grackle,Barnstable County,6/13/2019,Released,Entrapment - Unintentional,456,2019,2633
Lexington Street,Belmont,American Robin,Middlesex County,6/11/2019,Released,Orphan,457,2019,
99 Old Westboro Road,Grafton,American Robin,Worcester County,6/12/2019,Released,Orphan,458,2019,
46 Tanglewood Road,Sterling,American Robin,Worcester County,6/10/2019,Released,Orphan,459,2019,
By the Pierce School,Brookline Village,American Robin,Norfolk County,6/13/2019,Released,,460,2019,
Daniels Shay's Highway,Athol,American Robin,Worcester County,6/14/2019,Released,Orphan,461,2019,
16 Essex Street,Swampscott,American Robin,Essex County,6/15/2019,Released,Orphan,462,2019,
No information given.,No information given.,American Robin, County,6/19/2019,Released,Orphan,463,2019,
No info given,No info given,House Sparrow,,6/14/2019,Released,"Orphaned, Fell from Nest",464,2019,2660
Chatham Jam and Jelly Shop,Chatham,House Sparrow,Barnstable County,6/14/2019,Released,Orphaned,465,2019,
116 Old King's Highway,Wellfleet,Eastern Gray Squirrel,Barnstable County,4/15/2019,Euthanized +24hr,"Nest/Habitat Disturbed, Orphan",466,2019,
116 Old King's Highway,Wellfleet,Eastern Gray Squirrel,Barnstable County,4/15/2019,Released,"Nest/Habitat Disturbed, Orphan",467,2019,
15 Cove Road,Orleans,Eastern Gray Squirrel,Barnstable County,5/1/2019,Released,Orphan,468,2019,2653
Divinity Avenue,Cambridge,Eastern Gray Squirrel,Middlesex County,5/4/2019,Released,Orphan,469,2019,2141
212 Indian Trail,West Barnstable,Northern Cardinal,Barnstable County,5/11/2019,Released,"Orphaned, Fell from Nest",470,2019,2655
212 Indian Trail,West Barnstable,Northern Cardinal,Barnstable County,5/11/2019,Released,"Orphaned, Fell from Nest",471,2019,2655
102 Aunt Molls Ridge Road,Brewster,Common Grackle,Barnstable County,5/24/2019,Released,Environmental - Wind,472,2019,2631
27 Mirasol Lane,Harwich Port,Common Grackle,Barnstable County,5/19/2019,Released,Animal Interaction - Other,473,2019,2646
27 Mirasol Lane,Harwich Port,Common Grackle,Barnstable County,5/19/2019,Released,Animal Interaction - Other,474,2019,2646
68 Bayberry Avenue,Provincetown,White-footed Mouse,Barnstable County,5/20/2019,Dead on arrival,Orphaned,475,2019,6512
68 Bayberry Avenue,Provincetown,White-footed Mouse,Barnstable County,5/20/2019,Dead on arrival,Orphaned,476,2019,6512
68 Bayberry Avenue,Provincetown,White-footed Mouse,Barnstable County,5/20/2019,Released,Orphaned,477,2019,6512
68 Bayberry Avenue,Provincetown,White-footed Mouse,Barnstable County,5/20/2019,Released,Orphaned,478,2019,6512
68 Bayberry Avenue,Provincetown,White-footed Mouse,Barnstable County,5/20/2019,Released,Orphaned,479,2019,6512
Unknown,Hyannis/Dennis,House Finch,Barnstable County,5/21/2019,Released,Nest/Habitat Disturbed,480,2019,
Unknown,Hyannis/Dennis,House Finch,Barnstable County,5/21/2019,Died +24hr,Nest/Habitat Disturbed,481,2019,
Unknown,Dennis,Common Grackle,,5/24/2019,Released,"Environmental - Wind, Nest/Habitat Disturbed",482,2019,
Unknown,Dennis,Common Grackle,,5/24/2019,Released,"Environmental - Wind, Nest/Habitat Disturbed",483,2019,
660 Short Road,Truro,House Finch,Barnstable County,5/26/2019,Released,Nest/Habitat Disturbed,484,2019,2630
727 South Orleans Road,Brewster,White-footed Mouse,Barnstable County,5/29/2019,Released,Nest/Habitat Disturbed,485,2019,2631
727 South Orleans Road,Brewster,White-footed Mouse,Barnstable County,5/29/2019,Released,Nest/Habitat Disturbed,486,2019,2631
Smith Neck Road,South Orleans,Black Racer,Barnstable County,5/30/2019,Released,Entrapment - Garden Netting,487,2019,2653
82 Jerico Lane,Chatham,Carolina Wren,Barnstable County,5/30/2019,Died +24hr,Nest/Habitat Disturbed,488,2019,
82 Jerico Lane,Chatham,Carolina Wren,Barnstable County,5/30/2019,Died +24hr,Nest/ Habitat Disturbed,489,2019,
82 Jerico Lane,Chatham,Carolina Wren,Barnstable County,5/30/2019,Died +24hr,Nest/Habitat Disturbed,490,2019,
82 Jerico Lane,Chatham,Carolina Wren,Barnstable County,5/30/2019,Released,Nest/Habitat Disturbed,491,2019,
468 Main Street,Harwich,Black-capped Chickadee,Barnstable County,6/4/2019,Died +24hr,Animal Interaction - Raccoon,492,2019,2645
468 Main Street,Harwich,Black-capped Chickadee,Barnstable County,6/4/2019,Released,Animal Interaction - Raccoon,493,2019,2645
167A Route 6A,Orleans,Eastern Chipmunk,Barnstable County,6/4/2019,Released,Orphaned,494,2019,2653
Shootflying Hill Road,Centerville,Black-capped Chickadee,,6/7/2019,Died +24hr,Orphaned,495,2019,
81 Maclean Road,Brewster,Eastern Chipmunk,Barnstable County,6/10/2019,Released,Animal Interaction - Cat,496,2019,2631
264 Thompson Road,Webster,American Robin,Worcester County,6/8/2019,Released,Orphaned,497,2019,
35 Putnam Road,Bedford,American Robin,Middlesex County,6/10/2019,Released,Orphan,498,2019,
Old County Road,Wellfleet,Northern Gannet,Barnstable County,6/12/2019,Died +24hr,Behavioral Stranding,499,2019,
Park Road,North Plymouth,American Crow,Plymouth County,6/11/2019,Died +24hr,orphan,500,2019,2630
Falmouth Police Dept.,Falmouth,Common Grackle,Barnstable County,6/2/2019,Released,Orphaned,501,2019,
26 Noreast Drive,Harwich,Eastern Gray Squirrel,Barnstable County,6/13/2019,Euthanized +24hr,,502,2019,2645
Oak Street,Harwich,Black-capped Chickadee,Barnstable County,6/13/2019,Died +24hr,Orphan,503,2019,2645
Old Colony Way,Provincetown,American Robin,Barnstable County,6/15/2019,Died in 24hr,,504,2019,
62 Willow Street,West Harwich,Red-tailed Hawk,Barnstable County,6/16/2019,Euthanized in 24hr,,505,2019,
11 Wing Lane,South Dennis,Virginia Opossum,Barnstable County,6/16/2019,Dead on arrival,,506,2019,
2008 Main Street,Chatham,Black-capped Chickadee,Barnstable County,6/16/2019,Died in 24hr,Animal Interaction - Cat,507,2019,2645
None given,East Harwich,Red Squirrel,Barnstable County,6/16/2019,Euthanized in 24hr,Animal Interaction - Other,508,2019,2646
3981 Main Street,Brewster,American Robin,Barnstable County,6/17/2019,Euthanized in 24hr,"Animal Interaction - Dog,orphan",509,2019,
170 Monument Road,Orleans,Gray Catbird,Barnstable County,6/17/2019,Euthanized in 24hr,Collision - Vehicle,510,2019,2653
Route 6,Provincetown,Eastern Box Turtle,Barnstable County,6/17/2019,Euthanized in 24hr,,511,2019,2651
9 Candlewick Road,Orleans,Unidentified egg,Barnstable County,6/17/2019,Dead on arrival,,512,2019,2653
Unknown,Falmouth,Brown-headed Cowbird,Barnstable County,6/17/2019,Released,orphan,513,2019,2532
381 Sheep Pond Road,Brewster,Eastern Cottontail,Barnstable County,6/17/2019,Died in 24hr,,514,2019,2631
Unknown,Brewster,Eastern Cottontail,Barnstable County,6/17/2019,Dead on arrival,"Nest/ Habitat Disturbed, Injured",515,2019,
Unknown,Brewster,Eastern Cottontail,Barnstable County,6/17/2019,Transferred,"Nest/Habitat Disturbed, Injured",516,2019,
Unknown,Brewster,Eastern Cottontail,Barnstable County,6/17/2019,Transferred,"Nest/Habitat Disturbed, Injured",517,2019,
Unknown,Brewster,Eastern Cottontail,Barnstable County,6/17/2019,Transferred,"Nest/ Habitat Disturbed, Injured",518,2019,
Unknown,Brewster,Eastern Cottontail,Barnstable County,6/17/2019,Euthanized +24hr,"Nest/Habitat Disturbed, Injured",519,2019,
290 Summer Street,South Walpole,Northern Cardinal,Norfolk County,6/16/2019,Died in 24hr,Orphan,520,2019,
Baker's Pond Conservation,Orleans,Eastern Gray Squirrel,Barnstable County,6/17/2019,Euthanized in 24hr,,521,2019,
Unknown,Dennis,Eastern Cottontail,,6/17/2019,Euthanized in 24hr,Animal Interaction - Cat,522,2019,
Forrest Way,Orleans,Black-capped Chickadee,Barnstable County,6/18/2019,Released,orphan,523,2019,
152 Riverside Drive,West Harwich,Blue Jay,Barnstable County,6/18/2019,Died in 24hr,Maladaptation,524,2019,2671
40 Cranview Road,Brewster,Downy Woodpecker,Barnstable County,6/19/2019,Died +24hr,Injured,525,2019,2631
5 Indian Trail,Harwich,Mourning Dove,Barnstable County,6/18/2019,Euthanized in 24hr,"Animal Interaction - Dog,orphan",526,2019,2645
MacMillan Pier,Provincetown,Common Eider,Barnstable County,6/18/2019,Died in 24hr,,527,2019,
540 Massasoit Road  P.O. Box 662,Eastham,Eastern Cottontail,Barnstable County,6/18/2019,Died in 24hr,Animal Interaction - Dog,528,2019,2651
"Eastham Elementary School, Schoolhouse Road",Eastham,House Sparrow,Barnstable County,6/18/2019,Died +24hr,,529,2019,
Shady Knoll Campground,Brewster,Blue Jay,Barnstable County,6/19/2019,Euthanized +24hr,"Orphan, Injured",530,2019,12831
Unknown,Harwich,Eastern Cottontail,Barnstable County,6/19/2019,Euthanized in 24hr,Animal Interaction - Horse,531,2019,
Stop & Shop Plaza - Dr. Campagna's office,East Harwich,Eastern Chipmunk,Barnstable County,6/19/2019,Died in 24hr,Poisoning - Rat Bait,532,2019,
Oracle Square,Orleans,Eastern Chipmunk,Barnstable County,6/19/2019,Died in 24hr,Poisoning,533,2019,2653
9 Holly Lane,Brewster,Eastern Chipmunk,Barnstable County,6/19/2019,Died in 24hr,,534,2019,
"National Seashore Visitor Center, Nauset Road",Eastham,Gray Catbird,Barnstable County,6/19/2019,Died in 24hr,Collision - Vehicle,535,2019,2642
24 Azalea Drive,Harwich,Common Grackle,Barnstable County,6/19/2019,Died in 24hr,"Orphaned, Injured",536,2019,
Unknown,Sandwich,Northern Flicker,Barnstable County,6/19/2019,Euthanized in 24hr,,537,2019,2644
West Road,Orleans,Eastern Cottontail,Barnstable County,6/19/2019,Died +24hr,Animal Interaction,538,2019,
25 Standish Way,Provincetown,Chipping Sparrow,Barnstable County,6/20/2019,Released,Orphaned,539,2019,2657
19 Farmedge Lane,Harwich,Eastern Chipmunk,Barnstable County,6/20/2019,Died in 24hr,Animal Interaction - Cat,540,2019,2645
84 Bay View Drive,Brewster,Eastern Box Turtle,Barnstable County,6/19/2019,Transferred,,541,2019,2631
84 Bay View Drive,Brewster,Eastern Box Turtle,Barnstable County,6/19/2019,Transferred,"Collision, vehicle",542,2019,2631
514 Great Fields Road,Brewster,Eastern Cottontail,Barnstable County,6/20/2019,Euthanized in 24hr,Animal Interaction - Cat,543,2019,2631
26 Highland Road,Truro,Eastern Cottontail,Barnstable County,6/20/2019,Released,Entrapment - Pool,544,2019,
Crosby Beach,Brewster,Common Loon,Barnstable County,6/20/2019,Euthanized in 24hr,Injured,545,2019,
231 Route 28  Unit 9,West Harwich,Eastern Cottontail,Barnstable County,6/20/2019,Euthanized +24hr,Animal Interaction - Cat,546,2019,2671
Samoset Road,Eastham,Common Grackle,Barnstable County,6/21/2019,Died +24hr,"Injured,orphan",547,2019,2642
35A Alden Street,Provincetown,Downy Woodpecker,Barnstable County,6/21/2019,Died in 24hr,Disease,548,2019,2657
9 Baxter Lane,Orleans,Eastern Cottontail,Barnstable County,6/21/2019,Transferred,Animal Interaction - Cat,549,2019,2653
8 Old Ann Page Way,Provincetown,House Sparrow,Barnstable County,6/21/2019,Died +24hr,"Disease,orphan",550,2019,2657
Kelly Road,Wellfleet,Eastern Painted Turtle,Barnstable County,6/21/2019,Euthanized in 24hr,Collision - Vehicle,551,2019,2667
Bridge Road,Eastham,Common Snapping Turtle,Barnstable County,6/22/2019,Euthanized in 24hr,Collision - Vehicle,552,2019,2642
Brittany's Way,Eastham,Blue Jay,Barnstable County,6/22/2019,Euthanized in 24hr,orphan,553,2019,
12 McGuerty Road,Brewster,Eastern Cottontail,Barnstable County,6/22/2019,Died +24hr,Animal Interaction - Cat,554,2019,2631
Unknown,Harwich,Virginia Opossum,Barnstable County,5/15/2019,Released,Orphaned,555,2019,
Unknown,North Attleboro,Northern Flicker,Vishakhapatnam,6/6/2019,Euthanized +24hr,Orphaned,556,2019,
Unknown,North Attleboro,Northern Flicker,Vishakhapatnam,6/6/2019,Released,Orphaned,557,2019,
Orchard Road,Eastham,Eastern Box Turtle,Barnstable County,6/15/2019,Released,Collision - Vehicle,558,2019,2642
Katherine Lee Bates Road,Falmouth,Eastern Gray Squirrel,Barnstable County,6/5/2019,Died +24hr,Orphaned,559,2019,
Huntington Avenue,South Yarmouth,European Starling,Barnstable County,6/17/2019,Released,Entrapment,560,2019,
Unknown,Provincetown,Common Grackle,Barnstable County,6/25/2019,Died in 24hr,,561,2019,
10 Gesner Road,Orleans,House Wren,Barnstable County,6/29/2019,Died in 24hr,Orphaned,562,2019,2653
20 Gesner Road,Orleans,House Wren,Barnstable County,6/29/2019,Released,Orphaned,563,2019,2653
10 Gesner Road,Orleans,House Wren,Barnstable County,6/29/2019,Released,Orphaned,564,2019,2653
10 Gesner Road,Orleans,House Wren,Barnstable County,6/29/2019,Released,Orphaned,565,2019,2653
10 Gesner Road,Orleans,House Wren,Barnstable County,6/29/2019,Released,Orphaned,566,2019,2653
10 Gesner Road,Orleans,House Wren,Barnstable County,6/29/2019,Released,Orphaned,567,2019,2653
15 River Road,Orleans,Baltimore Oriole,Barnstable County,7/8/2019,Died +24hr,"Collision - Window,orphan",568,2019,2653
Unknown,Unknown,Black-capped Chickadee,,7/10/2019,Died +24hr,Orphaned,569,2019,
68 Flint Street,Marstons Mills,Chipping Sparrow,Barnstable County,7/10/2019,Died +24hr,"Nest/Habitat Disturbed, Orphaned",570,2019,
Settlers Trace,Eastham,American Robin,Barnstable County,7/12/2019,Died +24hr,"Entrapment,orphan",571,2019,2631
17 Upper County Road,West Dennis,American Robin,Barnstable County,7/14/2019,Died +24hr,"Orphaned, Fell from Nest",572,2019,
17 Upper County Road,West Dennis,American Robin,Barnstable County,7/14/2019,Died +24hr,"Orphaned, Fell from Nest",573,2019,
7 Lake Farm Lane,Orleans,Eastern Screech Owl,Barnstable County,7/14/2019,Released,Entrapment,574,2019,
Unknown,Unknown,Eastern Painted Turtle,,7/14/2019,Transferred,,575,2019,
Unknown,Unknown,Eastern Painted Turtle,,7/14/2019,Transferred,,576,2019,
Unknown,Unknown,Eastern Painted Turtle,,7/14/2019,Transferred,,577,2019,
Unknown,Unknown,Eastern Painted Turtle,,7/14/2019,Transferred,,578,2019,
Unknown,Unknown,Eastern Painted Turtle,,7/14/2019,Transferred,,579,2019,
Unknown,Unknown,Eastern Painted Turtle,,7/14/2019,Transferred,,580,2019,
Unknown,Unknown,Diamondback Terrapin,,7/14/2019,Transferred,,581,2019,
9 Haskell Lane,Harwich,Northern Cardinal,Barnstable County,7/13/2019,Died +24hr,,582,2019,2645
6 Bay Ridge Lane,Orleans,Eastern Cottontail,Barnstable County,7/15/2019,Died +24hr,,583,2019,2631
Gibson Road,Orleans,Black-capped Chickadee,Barnstable County,7/15/2019,Released,"Collision, orphan",584,2019,2653
155 Holmes Road,Eastham,Eastern Cottontail,Barnstable County,7/15/2019,Euthanized +24hr,,585,2019,
Stony Point Beach,Wareham,Piping Plover,Plymouth County,7/15/2019,Died +24hr,orphan,586,2019,
Little Pleasant Bay Beach,South Orleans,Common Eider,Barnstable County,7/16/2019,Died +24hr,,587,2019,2662
25 Long Nook Road,Truro,Double-crested Cormorant,Barnstable County,7/15/2019,Transferred,,588,2019,2666
Route 28 by Ryder's Cove,Chathamport,Northern Cardinal,Barnstable County,7/16/2019,Euthanized in 24hr,,589,2019,
23 Graymoor Way,Orleans,Eastern Gray Squirrel,Barnstable County,7/16/2019,Dead on arrival,Collision - Vehicle,590,2019,
Hardings Beach,Chatham,Herring Gull,Barnstable County,7/16/2019,Died +24hr,,591,2019,2360
Highland Road,Truro,Eastern Cottontail,Barnstable County,7/16/2019,Euthanized in 24hr,,592,2019,2657
Nauset Marine,Orleans,Eastern Cottontail,Barnstable County,7/16/2019,Euthanized in 24hr,Collision - Garden Equipment,593,2019,
Nauset Light Beach,Eastham,Black Scoter,Barnstable County,7/17/2019,Died +24hr,Behavioral Stranding,594,2019,2642
5 Seavers Road,Orleans,Northern Flicker,Barnstable County,7/17/2019,Euthanized +24hr,Collision - Window,595,2019,2653
6 Eagle Lane,Harwich,Eastern Cottontail,Barnstable County,7/17/2019,Transferred,,596,2019,2645
40 Aquinnah Road,Eastham,Downy Woodpecker,Barnstable County,7/17/2019,Euthanized +24hr,"Collision - Window,orphan",597,2019,2642
Unknown,Orleans,American Kestrel,Barnstable County,7/17/2019,Died in 24hr,,598,2019,12790
32 Cocheset Path,West Yarmouth,Chipping Sparrow,Barnstable County,7/17/2019,Euthanized in 24hr,Orphaned,599,2019,2673
Route 6 just west of the rotary.,Orleans,Red-tailed Hawk,Barnstable County,7/17/2019,Died in 24hr,Collision - Vehicle,600,2019,2653
15 Karen Avenue,South Dennis,House Wren,Barnstable County,7/18/2019,Died in 24hr,,601,2019,
Unknown,Chatham,Gray Catbird,Barnstable County,7/18/2019,Died in 24hr,Collision - Vehicle,602,2019,2653
Schoolhouse Road,Eastham,Eastern Cottontail,Barnstable County,7/18/2019,Euthanized in 24hr,,603,2019,
190 Summer Street  IFAW,Yarmouthport,Downy Woodpecker,Barnstable County,7/18/2019,Euthanized +24hr,Collision - Window,604,2019,2672
Chick Filet Restaurant parking lot,Hyannis,Great Black-backed Gull,Barnstable County,7/18/2019,Euthanized in 24hr,Foreign Object - Fishing Line,605,2019,2601
151 Chequessett,Wellfleet,Eastern Cottontail,Barnstable County,7/19/2019,Died in 24hr,Animal Interaction,606,2019,2667
Skaket Beach,Orleans,Great Black-backed Gull,Barnstable County,7/19/2019,Died in 24hr,,607,2019,2642
33 Harbor View Road,Harwich Port,Chipping Sparrow,Barnstable County,7/19/2019,Died in 24hr,Orphaned,608,2019,2646
3 Eldia Way,Eastham,Mourning Dove,Barnstable County,7/19/2019,Euthanized in 24hr,"Animal Interaction - Dog, Fell from Nest,orphan",609,2019,2642
47 Monument Road,Orleans,White-footed Mouse,Barnstable County,7/19/2019,Died in 24hr,"human impact,Rodenticide",610,2019,2645
3981 Main Street,Brewster,Song Sparrow,Barnstable County,7/20/2019,Dead on arrival,,611,2019,
Great Fields Road,Brewster,Wild Turkey,Barnstable County,6/7/2019,Released,,613,2019,2631
54 Overlook Circle,Plymouth,Wild Turkey,Plymouth County,6/5/2019,Released,Orphaned,614,2019,2360
Unknown,Newton,Wild Turkey,,6/8/2019,Died +24hr,Orphaned,615,2019,
86 Parker Road,Framingham,Wild Turkey,,6/8/2019,Released,Orphaned,616,2019,
86 Parker Road,Framingham,Wild Turkey,,7/30/2019,Released,Orphaned,617,2019,
Great Hill Access Road,Marion,Pine Warbler,,6/12/2019,Released,"Orphaned, Fell from Nest",618,2019,
15 Bell Road,Chatham,House Sparrow,,6/23/2019,Released,orphan,619,2019,
46 Stafford Circle,Dennisport,Baltimore Oriole,,6/17/2019,Released,Fell from Nest,620,2019,
Matt's Organics,Dennis,American Robin,,6/24/2019,Released,Orphaned,621,2019,2663
Princess Road / Scargo Lake,Dennis,Milk Snake,,6/24/2019,Died +24hr,Collision - Vehicle,622,2019,
350 Main Street,Centerville,American Robin,,6/24/2019,Released,Orphaned,623,2019,
1425 Main Street,Brewster,Song Sparrow,,6/25/2019,Euthanized +24hr,"Animal Interaction,orphan",624,2019,2631
1425 Main Street,Brewster,Song Sparrow,,6/25/2019,Died in 24hr,"Animal Interaction,orphan",625,2019,2631
52 Osprey Lane,East Sandwich,American Robin,Barnstable County,6/22/2019,Died in 24hr,,626,2019,2537
Unknown,Wellfleet,Eastern Painted Turtle,Barnstable County,6/22/2019,Transferred,EGG,627,2019,
Unknown,Wellfleet,Eastern Painted Turtle,Barnstable County,6/22/2019,Transferred,EGG,628,2019,
Unknown,Wellfleet,Eastern Painted Turtle,Barnstable County,6/22/2019,Transferred,EGG,629,2019,
Unknown,Wellfleet,Eastern Painted Turtle,Barnstable County,6/22/2019,Transferred,EGG,630,2019,
Unknown,Wellfleet,Eastern Painted Turtle,Barnstable County,6/22/2019,Transferred,EGG,631,2019,
Unknown,Wellfleet,Eastern Painted Turtle,Barnstable County,6/22/2019,Transferred,EGG,632,2019,
60 Daley Terrace,Orleans,Big Brown Bat,Barnstable County,6/22/2019,Euthanized in 24hr,,633,2019,2645
2 Shankpainter Road,Provincetown,Mourning Dove,Barnstable County,6/22/2019,Euthanized in 24hr,,634,2019,2657
105 Ferndoc Street,Hyannis,European Starling,Barnstable County,6/23/2019,Died in 24hr,orphan,635,2019,2647
Oracle Square,Orleans,Eastern Chipmunk,Barnstable County,6/23/2019,Died in 24hr,Animal Interaction,636,2019,2653
17 Sweetfern Lane,Harwich,Eastern Cottontail,Barnstable County,6/23/2019,Died +24hr,Animal Interaction - Dog,637,2019,2645
118 Fox Meadow Drive,Brewster,Eastern Cottontail,Barnstable County,6/23/2019,Transferred,Animal Interaction - Cat,638,2019,1060
near Orleans Road,Orleans,Eastern Box Turtle,Barnstable County,6/23/2019,Transferred,Collision - Vehicle,639,2019,2645
276 North Shore Road,North Truro,Common Eider,Barnstable County,6/23/2019,Died in 24hr,Disease,640,2019,83814
ARL Boston,Brewster,American Robin,Barnstable County,6/23/2019,Euthanized +24hr,orphan,641,2019,2668
115 Route 6A,Orleans,European Starling,Barnstable County,6/23/2019,Died +24hr,orphan,642,2019,
15 East Street,Eastham,Eastern Cottontail,Barnstable County,6/25/2019,Euthanized in 24hr,Animal Interaction - Cat,643,2019,
8 Stickbridge Road,Truro,Wild Turkey,Barnstable County,6/25/2019,Euthanized +24hr,"Animal Interaction,orphan",644,2019,2657
Wellfleet Drive-In,Wellfleet,Eastern Cottontail,Barnstable County,6/24/2019,Died in 24hr,Animal Interaction - Cat,645,2019,2667
55 McKoy Road,Eastham,Eastern Cottontail,Barnstable County,6/24/2019,Died +24hr,Animal Interaction - Cat,646,2019,
55 McKoy Road,Eastham,Big Brown Bat,Barnstable County,6/24/2019,Transferred,Orphan,647,2019,
22 Huckleberry Path,Harwich,Gray Catbird,Barnstable County,6/24/2019,Died +24hr,,648,2019,2645
288 Training Field Road,Chatham,Gray Catbird,Barnstable County,6/25/2019,Died in 24hr,Collision - Window,649,2019,2633
122 Pleasant Hill Circle,Woods Hole,osprey,Barnstable County,5/7/2019,Died +24hr,EGG,650,2019,2635
Unknown,Worcester,Mourning Dove,Worcester County,6/9/2019,Released,Orphan,651,2019,
25 Holbrook Avenue,Wellfleet,Mourning Dove,Barnstable County,6/15/2019,Released,"Nest/Habitat Disturbed, Orphaned",652,2019,2667
25 Holbrook Avenue,Wellfleet,Mourning Dove,Barnstable County,6/15/2019,Released,"Nest/Habitat Disturbed, Orphaned",653,2019,2667
Unknown,Fall River,Virginia Opossum,Vishakhapatnam,6/22/2019,Released,Orphaned,654,2019,
Schoolhouse Road,Eastham,Eastern Box Turtle,Barnstable County,6/25/2019,Released,Collision - Vehicle,655,2019,2651
52 Salten Point Road,Barnstable,Mourning Dove,Barnstable County,6/23/2019,Released,Orphaned,656,2019,
Unknown,Orleans,White-footed Mouse,Barnstable County,6/28/2019,Released,Orphaned,657,2019,
40 Skaket Beach Road,Orleans,Wild Turkey,Barnstable County,6/28/2019,Released,Orphaned,658,2019,2653
6A end of Signal Hill,Dennis,Eastern Box Turtle,Barnstable County,6/28/2019,Released,,659,2019,2638
24 Cypress Point Way,South Yarmouth,Red-tailed Hawk,Barnstable County,6/29/2019,Released,Orphan,660,2019,
Coast Guard Beach,Eastham,Northern Gannet,Barnstable County,7/5/2019,Euthanized +24hr,Behavioral Stranding,661,2019,
40 Richman Lane,Wellfleet,Rock Pigeon,Barnstable County,7/5/2019,Released,Behavioral Stranding,662,2019,2667
130 Eagle Point Cartway,Brewster,White-footed Mouse,Barnstable County,7/7/2019,Released,"Orphan, Parent Known Dead",663,2019,
130 Eagle Point Cartway,Brewster,White-footed Mouse,Barnstable County,7/7/2019,Released,"Orphan, Parent Known Dead",664,2019,
130 Eagle Point Cartway,Brewster,White-footed Mouse,Barnstable County,7/7/2019,Released,"Orphan, Parent Known Dead",665,2019,
41 Sylvan Lane,Truro,Eastern Gray Squirrel,Barnstable County,7/19/2019,Released,Orphan,666,2019,2666
41 Sylvan Lane,Truro,Eastern Gray Squirrel,Barnstable County,7/19/2019,Released,Orphan,667,2019,2666
78 Cottonwood Drive,Harwich,White-footed Mouse,Barnstable County,7/19/2019,Euthanized +24hr,Animal Interaction - Cat,668,2019,
Monomoy Middle School,Chatham,Osprey,Barnstable County,7/27/2019,Died +24hr,orphan,669,2019,
No address given.,Barnstable,American Robin,Barnstable County,8/2/2019,Died +24hr,"Nest/Habitat Disturbed, Orphan",670,2019,
Hardings Beach East,Chatham,Herring Gull,Barnstable County,8/3/2019,Released,orphan,671,2019,
1005 Main Street - Agway,Chatham,Eastern Cottontail,Barnstable County,8/4/2019,Euthanized +24hr,,672,2019,2645
Cold Storage Beach,Truro,Common Eider,Barnstable County,8/4/2019,Died +24hr,,673,2019,
Cockle Cove Beach,Chatham,Northern Gannet,Barnstable County,8/4/2019,Died +24hr,Behavioral Stranding,674,2019,
Pleasant Road Beach,Weat Harwich,Black Scoter,Barnstable County,8/4/2019,Died +24hr,Disease,675,2019,94960
Unknown.,Unknown,Eastern Cottontail,,8/6/2019,Died in 24hr,,676,2019,
"Stage Harbor Yacht Club, Champlain",Chatham,Double-crested Cormorant,Barnstable County,8/6/2019,Euthanized in 24hr,Injured,677,2019,
Unknown,Provincetown,Double-crested Cormorant,Barnstable County,8/7/2019,Died in 24hr,,678,2019,2657
28 Captain Howes Road,East Dennis,Eastern Cottontail,Barnstable County,8/7/2019,Dead on arrival,Injured,679,2019,10002
Gull Pond,Wellfleet,Double-crested Cormorant,Barnstable County,8/7/2019,Transferred,Disease,680,2019,
Cape Tradewinds Gift Sop  (at rotary),Eastham,House Sparrow,Barnstable County,8/8/2019,Died in 24hr,,681,2019,
Route 6,Provincetown,Double-crested Cormorant,Barnstable County,8/8/2019,Transferred,"Collision, Disease",682,2019,
32 Derby Lane,Harwich,House Sparrow,Barnstable County,8/8/2019,Died in 24hr,Injured,683,2019,
22 Brown Street,Provincetown,Mourning Dove,Barnstable County,8/8/2019,Died +24hr,Entrapment - Bird Feeder,684,2019,
Lecount Hollow Beach,Wellfleet,Laughing Gull,Barnstable County,8/8/2019,Died +24hr,Injured,685,2019,
555 Old Orchard Road  Eastham DPW,Eastham,American Robin,Barnstable County,8/9/2019,Died in 24hr,,686,2019,2642
73B Howland Street,Provincetown,Eastern Gray Squirrel,Barnstable County,5/6/2019,Died in 24hr,Nest/Habitat Disturbed,687,2019,2657
73B Howland Street,Provincetown,Eastern Gray Squirrel,Barnstable County,5/6/2019,Died in 24hr,Nest/Habitat Disturbed,688,2019,2657
73B Howland Street,Provincetown,Eastern Gray Squirrel,Barnstable County,5/6/2019,Died in 24hr,Nest/Habitat Disturbed,689,2019,2657
73B Howland Street,Provincetown,Eastern Gray Squirrel,Barnstable County,5/6/2019,Released,Nest/Habitat Disturbed,690,2019,2657
Commercial Street,Provincetown,Eastern Gray Squirrel,Barnstable County,6/1/2019,Released,"Orphaned, Inappropriate Human Possession",691,2019,
12 Millpond Road,Sudbury,Eastern Gray Squirrel,Middlesex County,6/7/2019,Released,Orphaned,692,2019,1776
Unknown,Provincetown,Common Grackle,Barnstable County,6/16/2019,Released,Orphaned,693,2019,
Settlers Trace,Eastham,Black-capped Chickadee,Barnstable County,6/18/2019,Died +24hr,,694,2019,2631
Settlers Trace,Eastham,Black-capped Chickadee,Barnstable County,6/18/2019,Released,,695,2019,2631
